index,x,y,z,ray_x,ray_y,ray_z,min_distance
12,-0.030658928,0.433478831,0.413710205,-0.258480932,-0.676460726,0.689629244,inf
12,-0.030658928,0.433478831,0.413710205,-1.22E-16,-0.690418949,0.723409756,inf
12,-0.030658928,0.433478831,0.413710205,0.258480932,-0.657326261,0.707891089,inf
12,-0.030658928,0.433478831,0.413710205,0.499346817,-0.579437876,0.644130814,inf
12,-0.030658928,0.433478831,0.413710205,0.70618304,-0.462061756,0.536474088,inf
12,-0.030658928,0.433478831,0.413710205,0.864894057,-0.313196892,0.39225754,inf
12,-0.030658928,0.433478831,0.413710205,0.964663973,-0.142988177,0.221309288,inf
12,-0.030658928,0.433478831,0.413710205,0.998693633,0.036964946,0.035279175,inf
12,-0.030658928,0.433478831,0.413710205,0.964663973,0.214398969,-0.153155156,inf
12,-0.030658928,0.433478831,0.413710205,0.864894057,0.377222057,-0.331152217,2.22553587
12,-0.030658928,0.433478831,0.413710205,0.70618304,0.514338084,-0.4865818,1.632236242
12,-0.030658928,0.433478831,0.413710205,0.499346817,0.616402822,-0.608851639,1.361968517
12,-0.030658928,0.433478831,0.413710205,0.258480932,0.676460726,-0.689629244,1.241049528
13,-0.033213839,0.469602066,0.448186055,0,0.690418949,-0.723409756,1.163638353
13,-0.033213839,0.469602066,0.448186055,-0.258480932,0.657326261,-0.707891089,1.222221017
13,-0.033213839,0.469602066,0.448186055,-0.499346817,0.579437876,-0.644130814,inf
13,-0.033213839,0.469602066,0.448186055,-0.70618304,0.462061756,-0.536474088,inf
13,-0.033213839,0.469602066,0.448186055,-0.864894057,0.313196892,-0.39225754,inf
13,-0.033213839,0.469602066,0.448186055,-0.964663973,0.142988177,-0.221309288,inf
13,-0.033213839,0.469602066,0.448186055,-0.998693633,-0.036964946,-0.035279175,inf
13,-0.033213839,0.469602066,0.448186055,-0.964663973,-0.214398969,0.153155156,inf
13,-0.033213839,0.469602066,0.448186055,-0.864894057,-0.377222057,0.331152217,inf
13,-0.033213839,0.469602066,0.448186055,-0.70618304,-0.514338084,0.4865818,inf
